ids,labels,parents,hovertexts
Consumer Products-Detergents and Cleaners-All-purpose spray,All-purpose spray,Consumer Products-Detergents and Cleaners,"""Palm oil derivatives may be used<br>in all-purpose sprays for their<br>emulsifying and cleansing<br>properties. They help to<br>effectively clean various<br>surfaces and remove dirt, grime,<br>and grease."""
Consumer Products-Detergents and Cleaners-Bathroom Cleaner,Bathroom Cleaner,Consumer Products-Detergents and Cleaners,"""Palm oil derivatives may be used<br>in bathroom cleaners for their<br>ability to dissolve soap scum,<br>mineral deposits, and stains.<br>They help to effectively clean and disinfect bathroom surfaces."""
Consumer Products-Detergents and Cleaners-Dish Soap,Dish Soap,Consumer Products-Detergents and Cleaners,"""Palm oil derivatives are<br>commonly used in dish soaps for<br>their ability to cut through<br>grease and remove food<br>residues. They help to create a<br>rich lather and leave dishes clean<br>and shiny."""
Consumer Products-Detergents and Cleaners-Dishwasher Detergent,Dishwasher Detergent,Consumer Products-Detergents and Cleaners,"""Palm oil derivatives may be used<br>in dishwasher detergents as<br>surfactants and emulsifiers. They<br>help to remove food particles<br>and stains from dishes, glasses,<br>and utensils."""
Consumer Products-Detergents and Cleaners-Disposable Sweeper Pads,Disposable Sweeper Pads,Consumer Products-Detergents and Cleaners,"""Palm oil derivatives may be used<br>in disposable sweeper pads as a<br>coating to attract and trap dust,<br>dirt, and pet hair. They help to<br>effectively clean floors and<br>surfaces."""
Consumer Products-Detergents and Cleaners-Floor Cleaner,Floor Cleaner,Consumer Products-Detergents and Cleaners,"""Palm oil derivatives are commonly<br>used in floor cleaners<br>for their ability to remove dirt,<br>stains, and grime from various<br>types of flooring. They help to<br>leave floors clean and shiny."""
Consumer Products-Detergents and Cleaners-Furniture Polish,Furniture Polish,Consumer Products-Detergents and Cleaners,"""Palm oil derivatives may be used<br>in furniture polishes for their<br>ability to enhance the<br>appearance of wood and other<br>surfaces. They help to provide a<br>protective layer, restore shine, and reduce the visibility of<br>scratches."""
Consumer Products-Detergents and Cleaners-Glass Cleaner,Glass Cleaner,Consumer Products-Detergents and Cleaners,"""Palm oil derivatives may be used in glass cleaners for their ability to remove fingerprints, smudges, and streaks from glass surfaces. They help to leave glass clean<br>and sparkling."""
Consumer Products-Detergents and Cleaners-Laundry Detergent,Laundry Detergent,Consumer Products-Detergents and Cleaners,"""Palm oil derivatives are<br>commonly used in laundry<br>detergents as surfactants and<br>emulsifiers. They help to remove<br>stains, dirt, and odors from<br>clothes and fabrics."""
Consumer Products-Detergents and Cleaners-Multi-purpose Cleaner,Multi-purpose Cleaner,Consumer Products-Detergents and Cleaners,"""Palm oil derivatives may be used<br>in multi-purpose cleaners for<br>their versatility in cleaning<br>various surfaces. They help to<br>remove dirt, grease, and stains<br>from different areas of the home."""
Consumer Products-Detergents and Cleaners-Oven Cleaner,Oven Cleaner,Consumer Products-Detergents and Cleaners,"""Palm oil derivatives may be used<br>in oven cleaners for their ability<br>to dissolve and remove baked-on<br>grease, food residues, and stains.<br>They help to effectively clean<br>ovens and restore their<br>appearance."""
Consumer Products-Detergents and Cleaners-Stain Remover,Stain Remover,Consumer Products-Detergents and Cleaners,"""Palm oil derivatives may be used<br>in stain removers for their ability<br>to break down and remove tough<br>stains from fabrics, carpets, and<br>upholstery. They help to restore<br>the original color and<br>appearance of the material."""
Consumer Products-Detergents and Cleaners-Toilet Bowl Cleaner,Toilet Bowl Cleaner,Consumer Products-Detergents and Cleaners,"""Palm oil derivatives may be used<br>in toilet bowl cleaners for their<br>ability to remove mineral<br>deposits, stains, and bacteria<br>from toilet bowls. They help to<br>effectively clean and disinfect<br>the toilet."""
Consumer Products-Detergents and Cleaners-Window cleaner,Window cleaner,Consumer Products-Detergents and Cleaners,"""Palm oil derivatives may be used<br>in window cleaners for their<br>ability to remove dirt, smudges,<br>and streaks from glass surfaces.<br>They help to leave windows<br>clean and streak-free."""
Consumer Products-Detergents and Cleaners-Wipes,Wipes,Consumer Products-Detergents and Cleaners,"""Palm oil derivatives may be used<br>in wet wipes for their ability to<br>provide moisture and gentle<br>cleansing. They help to<br>effectively clean and refresh<br>various surfaces and skin."""
,,,
Consumer Products-Candles,Candles,Consumer Products,"""Palm wax, a derivative of palm<br>oil, is sometimes used in candle<br>production. It provides a clean<br>and slow-burning fuel source for<br>candles."""
Consumer Products-Candles-Various,Various,Consumer Products-Candles,
,,,
Consumer Products-Throat Soothers,Throat Soothers,Consumer Products,"""Palm oil derivatives are<br>sometimes used in throat<br>soothers, such as cough drops<br>and throat lozenges, to provide a<br>soothing and moisturizing effect<br>on the throat."""
Consumer Products-Throat Soothers-Cough Drops,Cough Drops,Consumer Products-Throat Soothers,"""Palm oil derivatives soothe and<br>provide relief from cough and<br>throat irritation."""
Consumer Products-Throat Soothers-Throat Lozenges,Throat Lozenges,Consumer Products-Throat Soothers,"""Palm oil derivatives soothe sore<br>throats and offer temporary<br>cough relief."""
,,,
Consumer Products-Vaping Products,Vaping Products,Consumer Products,"""Some e-juices and e-liquids used<br>in vaping products may contain<br>palm oil derivatives as a carrier<br>or flavoring agent."""
Consumer Products-Vaping Products-E-juice,E-juice,Consumer Products-Vaping Products,"""Some e-juices may contain palm<br>oil derivatives as a carrier or<br>flavoring ingredient."""
Consumer Products-Vaping Products-E-liquid,E-liquid,Consumer Products-Vaping Products,"""Palm oil derivatives may be used<br>in the production of e-liquids as<br>a base or additive."""
Consumer Products-Vaping Products-Vape juice,Vape juice,Consumer Products-Vaping Products,"""Vape juices may contain palm oil<br>derivatives as a component of<br>the formulation."""
,,,
Consumer Products-Medicine,Medicine,Consumer Products,"""Palm oil derivatives can be found<br>in certain medications, including<br>gel caps, tablets, pills, and<br>liquids, as excipients or coating<br>agents."""
Consumer Products-Medicine-Gel Caps,Gel Caps,Consumer Products-Medicine,"""Gel capsules may contain palm<br>oil derivatives in the gelatin shell<br>or as a lubricating agent."""
Consumer Products-Medicine-Tablets,Tablets,Consumer Products-Medicine,"""Palm oil derivatives may be used<br>in the manufacturing process of<br>tablets as binding agents or for<br>coating purposes."""
Consumer Products-Medicine-Pills,Pills,Consumer Products-Medicine,"""Some pills may contain palm oil<br>derivatives in the formulation or<br>as part of the outer coating."""
Consumer Products-Medicine-Liquids,Liquids,Consumer Products-Medicine,"""Palm oil derivatives can be found<br>in various liquid medications,<br>such as syrups or suspensions,<br>as a solubilizer or stabilizing<br>agent."""
,,,
Consumer Products-Vitamins,Vitamins,Consumer Products,"""Palm oil derivatives may be used<br>in the production of vitamin<br>supplements, including liquid<br>vitamins, gel vitamins, gummy<br>vitamins, and tablet vitamins."""
Consumer Products-Vitamins-Liquid Vitamins,Liquid Vitamins,Consumer Products-Vitamins,"""Liquid vitamin formulations may<br>contain palm oil derivatives as<br>part of the carrier or as an<br>emulsifier."""
Consumer Products-Vitamins-Gel Vitamins,Gel Vitamins,Consumer Products-Vitamins,"""Gel vitamins may utilize palm oil<br>derivatives in the gelatin-based<br>formulation."""
Consumer Products-Vitamins-Gummy Vitamins,Gummy Vitamins,Consumer Products-Vitamins,"""Some gummy vitamins may<br>contain palm oil derivatives as<br>part of the gummy texture or<br>coating."""
Consumer Products-Vitamins-Tablet Vitamins,Tablet Vitamins,Consumer Products-Vitamins,"""Palm oil derivatives can be found<br>in tablet vitamin formulations as<br>binders or for enhancing<br>bioavailability."""
,,,
Energy,Energy,,"""Palm oil is a major source for<br>biofuel. It's used in biomass<br>energy production due to its high<br>oil yield per acre compared to<br>other crops."""
Energy-Biofuel,Biofuel,Energy,"""Palm oil is one of the feedstocks<br>used for the production of<br>biofuels, such as biodiesel."""
Energy-Biofuel-Biomass Thermal Energy,Biomass Thermal Energy,Energy-Biofuel,"""Biomass thermal energy systems<br>may utilize palm oil biomass as a<br>renewable energy source for<br>heat generation."""
Energy-Biofuel-Biomass Liquid Fuels,Biomass Liquid Fuels,Energy-Biofuel,"""Palm oil biomass can be<br>converted into liquid fuels, such<br>as bioethanol or biobutanol,<br>through appropriate processing<br>methods."""
Energy-Biofuel-Biomass Gaseous Fuels,Biomass Gaseous Fuels,Energy-Biofuel,"""Palm oil biomass can be utilized<br>for the production of gaseous<br>fuels, such as biogas or syngas,<br>through processes like anaerobic<br>digestion or gasification."""
